Nama,Komentar
hadiyayan sofyan,"Untung pas live nya nonton tvri.. bung jebret ga cocok sumpah komentator  badminton,  ganggu"
PuteriPuteri,Terimakasiiih
Andri Imam Subekhi Andri,"KAMI SEKELUARGA MENANGIS ATAS LAGU INDONESIA RAYA BERKUMANDANG DI JEPANG. TERIMA KASIH BANYAK GRESYA DAN APRIYANI ATAS KSUKSESANMU DI BADMINTON OLYMPIADE TOKYO 2020 INI. KALIAN PATRIOT YG NYATA BUAT INDONESIA. TETAPLAH GIAT,ULET,FOKUS, UNTUK MASA DEPANMU YG SANGAT2 CEMERLANG."
MONIYEM TV,Terharuuuu
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
fajar 0606,"TRENDINGKAN WOOOOOOY BIAR BANYAK YG LIHAT DAN TERMOTIVASI SERTA MAKIN SEMANGAT DAN GIGIH DALAM MENCAPAI CITA-CITA, KARENA TIDAK ADA YANG TIDAK MUNGKIN SELAGI KITA SEMANGAT BERUSAHA DAN BERDOA."
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Alam Halim,"Untung Dapat Emas, Bisa Dijadikan Hadiah Buat HUT RI & Kabar Gembira Di Saat Covid 19. Greysia & Apriyani TOP BGT !!!!!"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Gabriel Sianipar,"Merinding, Indonesia Bisa. Indonesia Juara."
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Story _entah!,"https://youtube.com/shorts/aKuvcyy1Bhw?feature=share
STORY WA SEDIH"
Bigen Cell,"Sampe nangis ya Allah
Alhamdulillah ya Allah
Trima kasih ayu and grasia ❤️"
Ni'am sofi,luar biasa indonesia
Kulo Rijal,Jayalah indonesiaku
Finta Erviana,Baru kali ini prestasi mengalahkan sensasi
Mas Opi Mania,Alhamdulillah
Felma Legi,Sangat terharu... menangis bangga.. 😭🙏👍.... Karena.. idolaku..juara.. 🙏 Thanks for God 🙏 Luar Biasa berkat Tuhan...dan Penyertaan Tuhan sungguh Sempurna 🙏 dimasa pandemic... sehat dan kuat... Tuhan Yesus telah berikan kepada mereka berdua 🙏🙏🙏🙏🙏👍👍👍👍👍👍👍♥️♥️♥️♥️♥️♥️♥️
Sri Mulyani,"Gua penasaran situasi di studio Indosiar,  release dong....."
PuteriPuteri,Bangga banget
galuh pramudya,Bangga banget
TyaRa Channel,Luar biasa the best
Putra bungsu,Alhamdulillah ya Allah. Maju terus atlet Indonesia  🇮🇩 💪
susila winata,"Kebanggaan Indonesia nih 
Semangat terus"
Ryan Lukita,"selamat untuk gresya/rahayu kalian luar biasa
semoga bisa menjadi contoh untuk pebulu tangkis junior nya"
Sigit Pratama Iustitia,indonesia bangga
Rosyid Star Boy,Lagu Indonesia Raya dikumandangkan tepat di bulan kemerdekaan di Tanah negara yang pernah menjajah Indonesia
sri purnamawati,"guwe nangis waktu Minions tersingkir, tapi kali ini nangis guwe malah lebih deres...Ya Alloh.."
Dhian Ardianti,Masak gw ntn nya ikutan nangis
Bilqis Joko,😭😭😭
Kuboshi FX,👍👍👍👍👍👍👍👍👍👍👍
Mahyo Sound,Selamat atas kmnangnya
Ani Dachlia,اَلْحَمْدُلِلّهِ 🤲🏻 selamaaaattt terharuuuuuu🥺🥺🥺 terimakasih perjuangannya kami bangga pada kalian 💕🥰
Anto Alika,Mantap indonesia
Nazenda Dziva Lutfhiana,Alhamdulillah
HAH IJO,Semoga channel ku bisa menghibur kalian 😀
Terias Bembuain pice,Congrats
Amin Hidayat,"Ya Allah semoga Indonesia makin maju kedepannya, rindu Indonesia jadi macan asia  seperti dulu🥺"
Aini Saeran,Julid dikit yak... agak keganggu ama komentatornya 😂
Hilyatul Aulia,"Yang dislike apa banget deh, momen semembanggakan ini di dislike"
Fridal Islami,Msih ja merinding
Winne Caesaria,🖤🖤🖤🖤💫💫💫💫💫💫
Erika james,"Thnks Jesus, bagi Tuhan tak ada yg mustahil.
Doamu tiap malam dijawab oleh Tuhan greys. Slamat buat apri dan greys.🎉🎉🔥"
Arya Channel ♧,Indonesia bangga indosiar udah gak tayangin film yg isinya orang nunggangin burung ke pasar beli obat 🤣👍https://youtu.be/qifWBaWFaLg
Unie Noor,Bangga
chica chaca,merinding
susi yanti,Naik imun tubuh menonton ini
Lusia trium Fiatiningsih,"Puji syukur..... Atas persembahan  Medali Emas Olimpiade Tokyo. Terima kasih Srikandiku..., Greysia dan Apri.....Seluruh masyarakat Indonesia Bangga 👍👍👍👍👍"
Ancul Anculan,👍
Ririn Ibrahim,😭😭😭
Gavin_ Lim_11,👍
NDOKOWI,Mengukir sejarah baru
Abizard Fahry,Lihat mereka nangis komentator nangis ikutan nangis selamat buat kak Gress dan Apriyani terimakasih telah beri kado buat Indonesia di hari ultah 17 Agustus 2021
may nardi,London 2012 Disqualified
Atray TV,👍👍👍👍👍
Joel Nestah,ini mantap
SAS TV,Terima kasih
Marojahan Aritonang,"Proud of you both, Greysia Apriani! 😭🇲🇨 The maker history of Indonesia, astaga... Ya Tuhan, GUE NANGISS GA BERHENTI-HENTI 😭😭😭"
Benojojo Jojo,Ga ada penonton. Sepi banget padahal kemenangan buat emas....
aaa aa,MERINDIIIINGGGG
Era Bukitgroup,👌👌👌
Sintaria Tarigan,Salom Ija bgm keadaan Irwin skrg
Oktavia Kumala Sari,"Bendera merah putih berkibar & lagu Indonesia raya berkumandang 🇮🇩🇮🇩🇮🇩 ,,, terharu n bahagia 😭 , terimakasih atas perjuangan kalian❤️🏸"
Shafiqa channel,"Siapa kita,,siapa kita..siapa kita??
Indonesiaaaa... 😊"
Fani Nuriyanto,❤️🎉🎉🇮🇩🇮🇩❤️❤️❤️🎉🎉
Har Kaloa,Diputar berkalikali
21 Putu Angga purnamayanta,Yang dislike pasti dari Tim china 😂😂
M. Simanjuntak,"Thanks God, congrats Indonesia, congrats Greysia/Apriyani. Sebahagia itulah hari ini.. 🇮🇩🏅🙏👏♥️"
Ihsan Musicplaylist,Komentartor gak mutu kayak orang gila 🤣🤣 mending streaming daripada nonton di indosiar
eva prasetiowati,indonesia hebat
Muhadi Sahid,Bener bener mental yang bertanding
Mas Khanafi,Risih gue denger komentatornya😄
WWE Indonesia,"SEJARAH TERCIPTA HARI INI!!!
FIRST EVER GOLD MEDAL FROM WOMENS DOUBLE. TERIMA KASIH GREYSIA APRIYANI"
Septoh Pati,"Mana tuh pemain china chen qing chen, kaga ada teriakan wo cao..wo cao.. wkwkwkwk"
elisa sumuweng,Berkat Buat Indonesia
ohh yaaa,Alhamdulillahhh
Dinda Nurlatipah,kak grey kak apri❤❤❤
Mozareta Bilbina,"Alhamdulillah..Congratulations on the victory of Greysia Polii and Apriyani Rahayu!! Thank you for the struggle and dedication in the world of badminton so far which has made the name of the Indonesian nation proud. I also remember the badminton player who has passed away, Markis Kido. Congratulations on the gold medal!!🇮🇩❤️🤍"
Pdr King,Congratulation Indonesia
UnaUno Kids Play,"Indonesia...trek tek tek tek teeek.
INDONESIAA.."
Munir Tika,Siapa kita...... INDONESIA!!!!!!!!
Hape Happy,Busyet keren sekali.... .siapa kita Indonesia
AHMAD RIDHA OFFICIAL,"Alhamdulillah emas sudah kita dapat
Semoga perunggu dari ginting juga bisa kita dapat hari ini

Dan juga semoga atlet angkat besi kita nurul akmal bisa meraih medali "
BIM 151,Pantes mah klo gni trending 1...merdeka indonesia
Oman Bean,Berita dinar candy trending  please ini melulu bosen😅 percuma indo masi pandemi ngak seru
ahmad primajaya,TERIMA KASIH
Bintang Kehidupan Tv,Indonesia merdeka luar biasa
herboris,"Jika tiba di indonesia.. SIAP"" DIAJAK COLLABS SAMA U'TBER. N ACRA TV NASIONAL... TARIF TINGGI SAJA BUAT YG MENGAJAK KALIAN !!!! KARNA KALIAN ADALAH PAHLAWAN !!!!!!!!!!!!"
DAMUN ISWAN,ai love you pull greysia polii dan apriyani rahayu
iLOCKEYou,"Sedih kok trending satu jadi abang2 tulang lunak yg doyan joget sih😭😭
Gue harap besok naik trending satu lagi
Semangat INDONESIA❤"
AGUS TUSER,indonesia ku cerdas...
Fhate Fatriana,Bangga bangga bangga
Fatimah Ar,"Jd terharu .... Alhamdulillah... Terima kasih atas perjuangannya Apriyani, Gresia & tim 👍😍"
Yuri Mathias,"Klo gw jd presiden, gw jemput mreka d bandara"
Beet Asli,"Nitip Leon Messi Pindah ke PSG.. 
https://youtu.be/C6ImMWC8L8E"
Sulikah 01,Bangga
Sonia Sugandi,Sutradara Racket Boys apa ga malu liat ini hahaaa
Dendi Sugiri,SEJARAH BARU 🥇🥇🇮🇩🇮🇩❤️❤️🔥🔥🔥🔥 #selamat greyap 🥰
Imron Alcantara,Trending kan
toed jo,Yang dislike kenapa ya? Ampe 1.5 rb lebih. Aneh lu
Ester berfes ku sejati,Wah hebat
Juju Aja,Trending terus ya
Elina,Alhamdulillah bulutangkis selalu bisa menyumbang medali emas olimpiade untuk Indonesia 👍😀
MY TAYO WORLD,Love indonesiakuuuu tersayanggg
Pejuang Rupiah,lebih greget tontowi dulu
Suka Kartun,Bangga https://youtu.be/L3MRNL9I2nA
PAKAR NYA TUTORIAL,Indonesia menanggggggg
iing abdullah,"Alhamdulillah..
Indonesia bangga kepada kalian. Terima kasih GreisApri. Congratulation..😍❤❤❤"
LAMPEGAN CERITA,Yuk mampir kita gotong royong🙏
Akhbirni Tv,Mantep
Akhbirni Tv,Mantep
IIN INAYAH,Itu yang dislike ada masalah apa ?
Zen Electro Channel,"Yang Merasa Bangga Indonesia Akhirnya Dapat Emas Pertamanya LIKE
alhamdulilah ,,,,terima kasih Greysia terima kasih Apriyani kalian membuat kami bangga."
JENDELA GALERI,Emas emas emas
Rizky Ray,Komentator rasa worship leader😂😂
Ikky Ganzz,Njr merinding gua
Fauzi Rahman,haha valentino jebret maknyos komen2nya
Rudi Tmw,Akhirnyaaa lgu Indonesia Raya berkumandang di Olimpiade Tokyo 2020-2021..🇮🇩🇮🇩 Terimakasih Greysapoli dan Apriyani💪
Dedi Sapa Teman,Wah.. Kombinasi komentor Indonesia dan Venezuela
I Nyoman Angga Sempana,Selamat Indonesia. Nice try cinaa🥳
dogbiily,GGWP anyink keren cokkk
metaLThunder,nice indonesia!!!!
ItsJessie,"yaampun ngeliat mereka seneng & bangga banget, proud to be indonesian💝🥺❤️❤️
congrats kak greysia sama kak rahayuu❤️❤️❤️"
Fathiry Qodra Alam,SIAPA PRESENTER INDOSIAR? BUNG TOWEL YAH?  LAWAK EUY HAHAHHA
LIONS CHANEL,https://www.youtube.com/playlist?list=PLtcnsWJUmPcEGxXbTmTMr6RO1ys-W7WAX TOLONGIN.. ITU GMN MENURUT KALIAN
LIONS CHANEL,https://www.youtube.com/playlist?list=PLtcnsWJUmPcEGxXbTmTMr6RO1ys-W7WAX TOLONGIN.. ITU GMN MENURUT KALIAN
so khani,Joooos gandooos... Mantaaap..
Sandi AF,Yoookkk mantap. Jangan lupakan kita juga harus mendukung perebutan medali perunggu Ginting dan Nurul Akmal di angkat besi nanti semoga dapat emas juga🔥🔥🔥
Ka MinnoT,"Ayo trendingkan ini terus. Tunjukkan pada negara yang rasis , tunjukkan indonesia hebat."
Firman Akustik Official,Mantab
Togel Vietnam,Mantab
Shafiqa channel,Udah sering diputer msih mewek aj
Muhammad Suhud Fadil,Selamat untuk Greysia Polii/Apriyani Rahayu atas diraihnya medali emas Olympic 2020 dan mencetak sejarah. 🇮🇩🇮🇩🇮🇩 Ayo tahun Olympic 2024 giliran Tunggal Putri yang juara Olimpiade eranya Putri Kusumawardhani.
Andara Sampit,Alien mendali emas dong
arie wibowo,APA KABAR SUTRADARA RACKET BOYS YG DARI KOREA ITU. DRAMA BRENGSEK 😁
Hasan Basri,ngk bosen2 lihat vidio ini
Simon Tarigan,Komentatornya lebay banget
bayu ariandi,"Sampai terharu nonton ya akhirnya dapat medali emas juga indonesia di ganda putri.
Terimakasih sudah buat lagu indonesia raya berkumandang dijepang.
🇮🇩🇮🇩🇮🇩"
bambang,Komentator terhebohhhh
pemancing handil,"siapa sih yg teriak2 itu,tadinya sy ikut sedih  dan terharu denger ni suara teriak2  ga sedih🤭🤭"
idil borneo channel,"Siapa kitaaaaa ????
Indonesia 💪💪💪"
Rahma Wati,Nangisss
geet and maan bikin baper banget Ros,"Ya Allah sujud syukur kepadamu hari ini gres,apri bisa membawa medali,EMAS ke tanah Air,terima kasih gres,apri atas perjuangan kalian,kalian sudah  mengharumkan tanah air mu di negri orang👏👏👍👍🏆🏆"
Ratna el Sharie Zuhukha,Indonesia jaya
yt gaming simalu,Congratulation indonesia
CANELL KISMiin,Saya lebih suka denger penyiarnya heboh sangat
lutfi anggara,Kado ulang tahun RI
Syahdan Mulia,"Wow langsung trending1, terimakasih GreyAp kita bangga, atas prestasinya. Terharu"
Hanna Aprilia,Mampuh nya di bulutangkis g ada yg lain apa
데이터repository,Top 10 Men's Double player in 10 Years History on my channel
VINDRAGON,Total skor nya gg sama dengan hari kemerdekaan kita
MUSIC JADUL,"2 tahun kemudian..... masih ingat pemain bulutangkis ini,begini nasibnya sekarang..."
Firman Adit24,"Akhirnya medali emas🏅 pertama Indonesia🇮🇩 di olimpiade tokyo 2020 !
Congratulations 🎉🎉"
Last Gaming,Haru banget
Goresan Luka,Terhura bgt
serba serbi nusantar,"Gak tau mau bilang apa lagi.
Udh ga bsa berkata2."
Fudhail Saputra,Merdeka
Alex Vanto,Bangga Terhadap Semua Atlit Indonesia 🤗🇮🇩❤🙏
Makrami Rami,Tali masker dari biji kopi asli kk
Harry 吴友丰 Wu YouFeng,"Pemberitaan smpe 1 bulan ,xlo bisa 1 tahun"
Afi channel,Bando merah jadi sakdi medali emas
Rusdan Ayiz,Bwa bwa nasrani ni yg komentator sambil kutbah.. 🤣
Siraz Munir,"Mereka yang berusaha,yang nangis  Se-Indonesia raya 🤣🇲🇨🏸💕"
budak kadua,"Seketsa gambar Greysia &Apriani
https://youtu.be/BjK3pnz1f2o"
Wahyu Febriyanto,Heran.. Masih ada aja yg dislike
FCB 11,Josss
Om Jos,Merdeka
•exflowers,VERY PROUD OF THEM THANK YOU SO MUCH FOR THE STRUGGLE DURING THIS CONGRATULATIONS 🇮🇩❤️🥇
Dadang Setia Adi wikarta,Hidup indonesia
Bilqis Joko,😭😭😭😭😭
Anthy Ponk,Sulawesi 🏸💪🏻
Boy's_San _Bexasie,"Yg ga suka sama komentatornya.
Terlalu sombong dan ngeremehin."
kim Nana,MasyaAllah walau tim putra gagal ke final alhamdulillah tim putri dapat medali emas.. Terharu😢
origami time,Nice 👍👍👍
Jusmanjusman Jusman,Mantul
glauxyy~~ ●•●,TRENDING 1
Leli Suryana,Cuma bisa mewek termehek-mehek...
Putri D'Madeya,"BANGGA BANGGA BANGGA!!! Terima kasih untuk kerja keras kaliannn 😭✊
Semangattttt untuk atlet Indonesia cabang olahraga lainnyaa!!!! 🥺🤎"
tanpa nama,ah paling sebentar lagi juga bakal terlupakan . kaya yang udah udah juga gitu
Ci Mey Mey Mey,Baru viral sekrg woii 1 tahum yg lalu skrg kalian baru viralkan
Iwan Hayanto,Al ham dulila
Teko Teh Kecil,Ini gak ada Chanel lain yg nayangin di YouTube? Yg versi ini berisik sekali sma komentatornya 🤭
Sri Haryanti,"NGGAK TERASA AKU IKUT NANGIS
SELAMAT UNTUK KEMENANGAN BULU TANGKIS INDONESIA......😂😂😂"
Widia Mustika,ITU YANG DISLIKE ADA MASALAH APASIHHH
Vavino Laurensia,Love you indonesia
Gomgom Sihombing,Tingkatkan
Meron Squads,Enek banget dengar sama komentator
Miftahul Jannah,Terimakasih telah mengharumkan nama bangsa Indonesia!😭❤️🇮🇩
Beban Keluarga,Yang comen Rata2 YouTuber anjir lah gua 🤦‍♀😂
Katinih 1960,Bagus
Obilsen Purba,Bisa gx ini trending sampai 17 Agustus 2021 ?
munawar zikri lukman,🇮🇩
Scorpio Jenong,"Aq putar brkali"" videonya btul"" bikin mrinding & mewek.. 
subhanallah, alhamdulillah..."
Krista Yora Hutasoit,Love
jati lanang,Pemain nomor satu dunia kalau oleh pemain nomor pemain nomor senam dunia
Hendar Su,Siapa sih yang nangisss
Ade Rusmana,Terharu
rayya sh,massive proud with their achievement 😭
Top Model,Manyap
dijoy dijah,"Kerennn yaaa momen paling dramatis.. Tapi jdi pelajaran dri kalahnya minions dan the dadies harus terus mengembangkn permainan agar tidak mudah di pelajari permainannya... Dan jgn jgn menggap remeh lawan serta rangking jgn sebagai patokn karena kita gk tau seberapa besar perjuangn lawan untuk mengalahkn kita.. Tapi bisa di akui chinies tipei bagus untuk olimpiade tahun ini.. Tapi jgn pernah menyerah untuk pra atlet masih ada 2024 sukses terus buat pahlawan"" olahraga indonesia"
Kue Mangga,Komentatornya nyanyi ternyata
Winne Caesaria,🥺🥺🥺🥺😂😂💘💘💘💘💘💘
Dilla Nur Pratiwi,"Selamat kepada Greysia Polii dan Apriyani Rahayu atas Gold medal ... Usaha tidak menghianati hasil..
Digantikan dengan yang lebih baik dan lebih indah oleh tuhan daripada olimpiade 2012 dan 2016 serta all England 2021 yang sangat menyesakan dada 😭😭
Terimakasih tuhan, terimakasih greyap. Proud of you  kami bangga 😭😭😭🇲🇨🇲🇨🇲🇨🇲🇨🎉"
roffi asmaftuh,INDONESIA BANGGA DI MASA PANDEMI MASAIH SAJA ADA YANG KORUPSI DANA BANSOS...
fin aldi sagara,susah payah cari emas padahal indonesia punya gunung emas
kalia amnon,wuih
Amrizal Rizki,Siapa kita INDONESIA....
Donal Pratama,"Indonesia bangga punya kalian berdua❤️ badminton benar2 membanggakan indonesia dimata dunia, sampe menitikkan air mata saya melihat kemenangan ini😭❤️❤️"
Musik PUTER Official,"Yuk mampir, dengerin musik koploan 😎
Yang lihat komenku, yang like semoga masuk surga. Amin"
Aisyah Marsyah,Trending tujuhari tujuh malam
ZilongBiasalah Official,"Hebaaattttttt, yeyeye"
Iyas Ilyas,Alhamdu indonesia brjaya lagi
SkyAngel,"GW SALUT SAMA GREYSIA TERPURUK DI OLYMPIC LONDON 2012, DITINGGAL CEDERA SAMA NITYA, UDAH MAU PENSI, DISURUH KOH ENGHIAN JANGAN MAU DICARI PASANGAN BARU, KETEMU APRI, SEKARANG EMASSSSS😭"
Asep Rudiawan,"Disaat mereka bahagia merayakan kemenangan,banyak juga orang yg susah dan menangis karena wabah di negeri ini🙄"
Aenun Rizqia Abada,Yg dislike waras?
Yani's Cooking,INDONESIA🇮🇩
Anon,Hay kak Gresia cantik kali harini yaa hehe😍😋
Josita Artika,Kado spesial untuk indonesiaa😊trimakasih ya allah sudah beri kemenangan 🤲🤲🤲😭❤
rafly anti,Gak kuat aink nhan air mata...tpi malu ma suami
ZilongBiasalah Official,Siapa kitaaaaaaa
Golif art,"Selamat greysia polli dan Apriyani rahayu.. 
Saya juga  persembahkan karya saya untuk greeiysia polli dan apriyani rahayu..
Selamat..."
Goresan Luka,Waw msih berthan nomor 1
King Ghidorah_Taftaniza A. Difinubun,Ya Allah merinding... gua nangiss... so proudd!!! Thanks you so much gres dan rahayu😭😭😭
Hendi Toko12,"Baik juga mnta maaf slm nie ku,minta maaf lh pn lh pn bai lh pn bai lh pn bai lh pn"
Siswadi Taman,Atlit kita brjuang dengan gagah dan berani .kita bangga .jangan dengarin orang yg mengatakan .atli tidak masuk surga .karena tidak pakei cilblat .munkin yg mengatakan itu pernah mati dan lihat surga ha ha ha
arvinka rahmawati,Apriyani sekilas mirip mahen g si?
tahbul26,👍👍🇮🇩🇮🇩
putri sitio,"Selamat dan terima kasih untuk perjuangan kalian
Terima kasih sudah membanggakan nama Indonesia
We love you"
Aura Lathisya,1:01 itu pak pelatihnya kagak muhrim ituu....
Layla oh Layla,Yang China digugat karana cakap kotor di pertandangingan mana?
Muhammad dhanil,Sip
Lawan MesinSlot id,Halouu pengamat judol abal² yang berharap dapat jackpott tapi gak pernah dikasih eh maap.. tonton video admin yaa tapi bukan untuk di tiru hanya sekedar mencari view dan subcriber untuk menyambung hidup ya salam
Eka Yudhistira Gumilang,Kado terindah untuk kemerdekaan indonesia ... Terimakasih pahlawan olahraga.
Teuku noufal Wilqiano,INDONESIAAAAAAAAAAAAAAAAAAAAAAAAA................................................................................
STREET Plastik:v,Ini adalah tamparan keras bagi pr kpoprs hahahah...
Ferdy Maulana saputra,Mantap
Imrida Kekona,Indonesian menang dik
Sujito Epra,"Ini luar biasa, dgn Greyap dapat emas sehingga Indonesia terbaik di asia tenggara dalam olimpiade 2020 Tokyo ini."
