Nama,Komentar
Saraswati W,Terimakasih sudah membuat indonesia bangga..
MATs VaRiaSi mobil,Bangga menjadi Indonesia .keren kaka. Sukses selalu kedepanya ya. Semangat  !!
Maisyara Salsabila,"Dari awal liat permainan mereka , mereka bermain dg mental yg sangat bagus , selisih mereka hadapi dg selalu tersenyum.  
Ketika salah satu melakukan kesalahan pun mereka terlihat saling tersenyum.  Sumpah bagus bgt cara bermain mereka ,"
Redy We,Saya bangga punya Indonesia.
BG Rohana Penjelajah,"Indonesia merah darahku 
Putih tulangku ....

Indonesia tetap semangat jadi bangsa pilihan 😊"
Linda ZM,Ikut bangga dan terharu melihatnya🥳🥳😭 trimakasih telah mengharumkan nama baik Indonesia😍😍🥳🥳
Chandra Irawan,Bangga banget dengan semua atlet Indonesia. Terutama Greysia polii dan apriyano Rahayu. Selamat untuk mereka dan atlet Indonesia yang lain
Burhan Rasyid,"Momen epic ini akan amat bersejarah, akan diputar setiap pegelaran olimpic diadakan. Harga yang pantas untuk sebuah perjuangan maksimal. Terima kasih dari kami yang turut bangga dan bahagia"
Agik Pandawa,"Semoga medali emas indonesia bertambah lagi,indonesia jaya"
Parabola Elektronic Solution,Terimakasih Greysia dan Apriani kalian sudah bikin bangga Bangsa Indonesia dan ini akan dikenang dalam sejarah. Selamat ya buat kalian
Joko Pramoko,Indonesia bangga. Terimakasih poli & rahayu
bee Nung diary,"INDONESIA BANGGA DENGAN KALIAN ,, SEMOGA KALIAN SEHAT SELALU💖😊"
JoJeh Channel,"Para atlit sudah berjuang mati""an untuk mengharumkan nama Indonesia di dunia. Saya berharap pemerintah bisa melihat perjuangan mereka. Untuk masa depan mereka."
AsenkJaya177,"Bangga , bangga , bangga , dan bangga 😭🙏"
Tuti Suprayati,"Alhamdulilah . Terimakasih  ya Allah .
 Tanggal timnas sepak bolanya ."
Brindil,"Dari kemaren video ini saya ulang2,semoga kedepanya indonesia selalu berjuara"
pakterix,"Sumpah, aku merinding Cok!"
APSHA,"Yuk,  yang nangis berjamaah like..  Bangga..  Selamat kak Greys dan Apri.."
Ilaika zulfa,Ikut Bangga atas kemenangan Indonesia 👍👍👍
Unggul Sriwijayanti,Masyaallah merinding aku
Welsia Wynstella Ratu,Saya juga ikut menangis 😭😭😭 melihatnya. Betul sekali bagi Tuhan tidak ada yang mustahil
eko saputra,Siapa yang disini setiap olahraga apapun jika Indonesia memenangkan nya bahkan juara dunia selalu meneteskan air mata
ANAK RANTAU,"Alhamdulillah, 21-19, 21-15
Kalo di jumlahin = 76
Ini Adalah kado Untuk Kemerdekaan REPUBLIK INDONESIA yang ke-76
Ini Bukan sebuah kebetulan tapi ada hikmah tersendiri Dibalik semua itu🇮🇩"
risman putra,Luar biasaaaaa....merindinggggggggggggggggggg
Novia Ratna,merinding dan meneteskan air mata tiap liat
Rifki pangestu,"Ikut seneng,,permainan yang sangat bagus ditampilkan sama greys dan apri,,makasih greys dan apri"
Andriawan,Merinding haru🔇
Azaria Kinaura,"ALHAMDULILAH! aku sangat terharu! Terimakasih sudah berjuang meraih medali emas Olympic! 
SAYA BANGA!!! 😭😭😭"
alifiandra destian,Hadiah terindah untuk ultah RI dan penghiburan terbesar di tengah kekalutan melawan pandemi...selamat greysia polli dan apriyani
Farta Part-XIII,"1:04 merinding di leher ""LAMBANG SUCI GAGAH PERWIRA"" Sungguh terharu... Terimakasih Greysia Polii & Apriyani Rahayu 👏🏻❤️🇮🇩"
LAUK KAPAR,"Jadi terharu nih,...   jayalah Indonesiaku di tim bulu tangkis Indonesia di olimpiade, semoga menjadi moment yang tak terhapus di ingatan kita semua...."
stevie sorpay,semoga olahraga indonesia bisa dikembgkn lbih baik lgi aminnn🇮🇩🇮🇩🇮🇩❣️❣️❣️❣️❣️❣️❣️
Dra Fransisca Sriastuti,Terharu luar biasa..hadiah untuk ulangtahun RI..pemain yang gigih..berjuang terimakasih Tuhan..berkatMu Melimpah..untuk Rakyat Indonesia Amin...sukses untuk Gresya dan Apriyani👍👏
elva mochamad,Mengejutkan sekaligus membanggakan...kerja keras berbuah manis! Selamat buat Apri dan Gresya!
Mulkiainlkhq,Semangat terus buat Greysia dan apriyani kami bangga padamu🥇🏆
I made Sriundy,Selalu menangis nonton video ini.. padahal sudah berkali-kali...
Dinar Halimi,Nonton ulang ini keluar air mata lagi... terharu.. bangga
Teguh Raharjo,"Terharu, sangat bangga buat mereka berdua, akan tercatat dalam sejarah, selamat..."
Johan Retra,"Bangga dan terharu atas semangat mereka😥😇
🇲🇨 tetap maju menuju angkas😇💪"
Jumi Ati,"Ya Allah terima kasih YG tak terhingga padaMu ya Allah, atas kemenangan ini, menetes air mata hamba menahan rasa haru, Terima kasih ya Allah"
TiaFJ,"Kalian luarr biasaaaaa ....sukses selalu untk kalian ber2 ,love you all🤗😘"
kang mas ku channel,"Indonesia bangga dengan kalian.
Walau ibu Pertiwi baru berduka tpi kami rakyat Indonesia bangga atas prestasi kalian"
Sherly Monalisa Silitonga,Berasa nonton KKR. Bangga Greysia & Apriyani juara 😭😭
Kasbin channel,Selamat dan sukses...semoga banyak membawA berkah untuk pertandingan lainnya....indonesia waktunya bersinar..
HS Video Games,Alhamduillah. Terus jaya bulutangkis Indonesia 💪
DAWUH KYAI NUSANTARA,Kami Bangga Padamu ❤️❤️
Giselle Dwi,"Sampai terharu sekali, nonton video ini.., luar biasa.., bulu tangkis Indonesia jaya !!"
